,0,1,2,3,4,5
92,162.0,150.0,31.0,109.0,54.0,129.0
9,128.0,144.0,57.0,100.0,95.0,99.0
54217,9.0,9.0,-6.0,3.0,15.0,6.0
35385,-8.0,-9.0,0.0,-2.0,2.0,-2.0
53897,34.0,28.0,20.0,21.0,16.0,20.0
591,100.0,77.0,60.0,80.0,13.0,66.0
34646,7.0,13.0,0.0,6.0,8.0,14.0
34585,-43.0,-6.0,-84.0,-20.0,49.0,-11.0
13448,-26.0,-19.0,-20.0,-7.0,10.0,-9.0
33052,62.0,71.0,30.0,30.0,59.0,55.0
53731,-64.0,-65.0,-34.0,-11.0,34.0,-7.0
18438,2.0,1.0,3.0,2.0,0.0,1.0
53916,1019.0,820.0,34.0,644.0,375.0,790.0
33523,2.0,-5.0,1.0,6.0,-4.0,1.0
32452,3.0,3.0,1.0,0.0,3.0,3.0
54344,613.0,635.0,108.0,331.0,326.0,480.0
826,56.0,49.0,20.0,38.0,34.0,45.0
1251,88.0,87.0,43.0,84.0,39.0,81.0
54325,34.0,37.0,10.0,32.0,12.0,19.0
33825,-5.0,9.0,-33.0,2.0,45.0,2.0
481,19.0,21.0,-2.0,22.0,28.0,21.0
998,43.0,31.0,28.0,22.0,3.0,35.0
46653,16.0,20.0,3.0,8.0,9.0,15.0
32451,-9.0,-8.0,10.0,-1.0,15.0,12.0
33749,7.0,13.0,-9.0,-1.0,15.0,11.0
46661,5.0,-12.0,-20.0,15.0,-20.0,-6.0
33723,76.0,90.0,19.0,64.0,38.0,56.0
35113,8.0,6.0,1.0,6.0,8.0,6.0
89,168.0,168.0,60.0,81.0,137.0,138.0
53470,1.0,-2.0,-1.0,6.0,0.0,0.0
205,-61.0,-51.0,-42.0,39.0,96.0,5.0
946,12.0,23.0,-9.0,24.0,6.0,45.0
16937,-18.0,-3.0,-24.0,6.0,6.0,-3.0
32454,73.0,76.0,59.0,61.0,52.0,67.0
34080,55.0,57.0,23.0,50.0,43.0,35.0
25102,-5.0,-2.0,-17.0,-12.0,24.0,5.0
233,5.0,0.0,-4.0,8.0,10.0,5.0
34628,11.0,3.0,6.0,16.0,0.0,6.0
34605,38.0,36.0,-8.0,9.0,30.0,30.0
18761,29.0,26.0,7.0,6.0,22.0,24.0
34121,291.0,296.0,75.0,189.0,175.0,179.0
53205,110.0,141.0,-53.0,139.0,370.0,169.0
532,275.0,286.0,65.0,202.0,185.0,212.0
34879,736.0,819.0,151.0,635.0,616.0,646.0
34033,-2.0,1.0,6.0,-3.0,1.0,-3.0
3307,-31.0,2.0,-37.0,-30.0,81.0,10.0
54252,429.0,450.0,177.0,311.0,258.0,498.0
46830,30.0,27.0,6.0,21.0,3.0,18.0
33699,152.0,165.0,67.0,88.0,81.0,99.0
51984,0.0,0.0,0.0,0.0,0.0,0.0
156,12.0,17.0,2.0,4.0,29.0,3.0
207,33.0,29.0,-7.0,30.0,36.0,27.0
33750,6.0,5.0,-3.0,7.0,4.0,4.0
561,4.0,4.0,1.0,2.0,1.0,3.0
18548,24.0,24.0,10.0,13.0,15.0,18.0
480,36.0,32.0,0.0,33.0,31.0,27.0
33516,-1.0,-3.0,0.0,4.0,1.0,-1.0
708,16.0,13.0,9.0,10.0,5.0,19.0
34978,654.0,606.0,164.0,347.0,475.0,580.0
1545,89.0,88.0,31.0,55.0,116.0,61.0
21663,1.0,11.0,-3.0,0.0,-4.0,3.0
53449,135.0,120.0,-18.0,72.0,95.0,93.0
18393,-39.0,-47.0,-28.0,-21.0,2.0,-12.0
46680,2.0,4.0,-2.0,1.0,2.0,0.0
34387,60.0,57.0,7.0,16.0,49.0,55.0
54354,2.0,1.0,3.0,2.0,0.0,1.0
28899,46.0,46.0,0.0,29.0,32.0,31.0
53648,0.0,-1.0,-2.0,0.0,5.0,-2.0
53616,0.0,50.0,30.0,50.0,85.0,29.0
18802,123.0,107.0,42.0,67.0,78.0,84.0
33359,15.0,3.0,-10.0,3.0,14.0,12.0
54643,13.0,13.0,4.0,2.0,10.0,12.0
1916,6.0,4.0,3.0,1.0,14.0,4.0
31444,51.0,47.0,22.0,22.0,26.0,34.0
54649,8.0,7.0,1.0,2.0,4.0,6.0
33514,767.0,723.0,189.0,422.0,327.0,509.0
52208,-2.0,-1.0,4.0,3.0,2.0,1.0
33220,372.0,389.0,30.0,194.0,318.0,434.0
267,33.0,50.0,-14.0,14.0,88.0,40.0
54678,217.0,239.0,-6.0,119.0,78.0,184.0
51,182.0,176.0,-21.0,115.0,126.0,132.0
18070,124.0,138.0,46.0,60.0,80.0,93.0
33506,53.0,59.0,11.0,33.0,29.0,35.0
27851,-11.0,-13.0,-28.0,-4.0,1.0,-6.0
33513,20.0,18.0,11.0,13.0,18.0,19.0
140,409.0,452.0,58.0,238.0,261.0,331.0
33577,68.0,72.0,29.0,32.0,44.0,66.0
32448,14.0,15.0,7.0,9.0,8.0,11.0
50,3.0,3.0,1.0,0.0,3.0,3.0
1066,-41.0,2.0,-15.0,-31.0,29.0,-6.0
33591,33.0,24.0,-8.0,18.0,28.0,41.0
54186,28.0,43.0,-1.0,-2.0,27.0,29.0
43975,61.0,40.0,-27.0,37.0,51.0,64.0
33508,55.0,54.0,5.0,28.0,40.0,41.0
20630,18.0,19.0,7.0,11.0,10.0,13.0
46843,53.0,41.0,13.0,31.0,18.0,34.0
50525,0.0,-3.0,-2.0,-5.0,-5.0,-3.0
33703,6.0,6.0,11.0,15.0,5.0,9.0
35105,-117.0,-116.0,-28.0,-54.0,11.0,-29.0
53037,43.0,49.0,17.0,49.0,41.0,56.0
35380,26.0,26.0,2.0,27.0,12.0,18.0
33559,70.0,98.0,54.0,42.0,79.0,70.0
1549,3.0,4.0,4.0,5.0,3.0,2.0
34651,49.0,43.0,23.0,50.0,25.0,48.0
27914,79.0,74.0,-19.0,82.0,115.0,65.0
20629,-3.0,1.0,7.0,10.0,3.0,9.0
1571,29.0,34.0,2.0,22.0,15.0,14.0
21586,124.0,105.0,27.0,73.0,38.0,74.0
1069,23.0,21.0,6.0,4.0,30.0,18.0
2713,24.0,24.0,9.0,10.0,20.0,26.0
53776,0.0,-16.0,9.0,-15.0,73.0,27.0
52801,177.0,172.0,43.0,115.0,133.0,137.0
34707,-12.0,-12.0,-3.0,-6.0,0.0,-3.0
35201,3.0,4.0,4.0,5.0,3.0,2.0
35049,-44.0,-44.0,-15.0,-26.0,29.0,32.0
1752,47.0,46.0,-36.0,48.0,52.0,76.0
53713,35.0,38.0,26.0,38.0,53.0,73.0
1562,7.0,7.0,2.0,2.0,4.0,6.0
35475,352.0,352.0,116.0,223.0,215.0,255.0
33083,9.0,1.0,2.0,3.0,4.0,-1.0
32423,29.0,28.0,2.0,7.0,16.0,23.0
164,2.0,4.0,0.0,1.0,3.0,3.0
53729,-12.0,-12.0,-15.0,9.0,9.0,3.0
406,51.0,57.0,12.0,35.0,38.0,41.0
3989,50.0,56.0,6.0,30.0,29.0,44.0
1685,13.0,6.0,9.0,16.0,14.0,19.0
36475,97.0,109.0,36.0,62.0,81.0,102.0
556,139.0,172.0,-75.0,153.0,282.0,197.0
52674,6.0,10.0,8.0,0.0,4.0,2.0
33185,0.0,-9.0,6.0,0.0,-6.0,0.0
35372,58.0,44.0,12.0,30.0,37.0,37.0
50592,126.0,131.0,-35.0,136.0,78.0,101.0
1829,-66.0,-28.0,-97.0,-62.0,52.0,-40.0
26386,47.0,41.0,-3.0,26.0,52.0,43.0
50583,16.0,20.0,-17.0,5.0,17.0,9.0
1548,-2.0,-3.0,-5.0,0.0,2.0,0.0
35333,30.0,39.0,-21.0,46.0,24.0,41.0
33328,139.0,119.0,35.0,60.0,105.0,91.0
16907,42.0,30.0,-10.0,30.0,25.0,34.0
34192,-70.0,-36.0,-99.0,-48.0,16.0,-40.0
50634,-20.0,-12.0,-122.0,0.0,133.0,20.0
35743,13.0,39.0,-2.0,-2.0,28.0,16.0
35211,129.0,123.0,42.0,89.0,60.0,90.0
4607,36.0,29.0,-1.0,13.0,27.0,28.0
44685,40.0,56.0,0.0,19.0,60.0,37.0
35379,-9.0,-6.0,-15.0,-4.0,-4.0,-9.0
35207,44.0,38.0,8.0,14.0,22.0,31.0
1767,7.0,6.0,5.0,4.0,6.0,6.0
46938,-1.0,-7.0,-13.0,0.0,-10.0,-6.0
53968,186.0,225.0,-126.0,165.0,183.0,130.0
1120,94.0,111.0,28.0,33.0,100.0,97.0
27828,94.0,83.0,29.0,36.0,74.0,74.0
33274,12.0,-6.0,-3.0,7.0,2.0,2.0
31432,-30.0,-50.0,-200.0,26.0,77.0,23.0
128,4.0,3.0,-3.0,4.0,1.0,-2.0
37426,-95.0,-46.0,-63.0,-23.0,49.0,-17.0
35397,11.0,12.0,-10.0,4.0,4.0,12.0
35199,24.0,19.0,-3.0,9.0,17.0,22.0
2287,39.0,34.0,27.0,24.0,16.0,32.0
54405,28.0,28.0,-18.0,24.0,14.0,14.0
50814,64.0,97.0,20.0,24.0,142.0,98.0
34715,6.0,18.0,-40.0,34.0,76.0,44.0
35230,14.0,13.0,2.0,4.0,8.0,9.0
48588,30.0,21.0,3.0,23.0,15.0,25.0
35297,41.0,33.0,6.0,24.0,27.0,27.0
35264,133.0,127.0,58.0,77.0,100.0,112.0
1739,77.0,136.0,51.0,17.0,144.0,107.0
1762,19.0,26.0,-2.0,26.0,35.0,22.0
33165,9.0,61.0,-40.0,26.0,77.0,109.0
22991,22.0,33.0,13.0,-9.0,36.0,19.0
34761,614.0,665.0,247.0,407.0,460.0,455.0
986,10.0,12.0,1.0,5.0,13.0,12.0
54074,23.0,28.0,13.0,17.0,10.0,25.0
47674,-42.0,-10.0,-58.0,-43.0,41.0,7.0
1587,102.0,78.0,14.0,69.0,112.0,96.0
1801,11.0,11.0,9.0,9.0,7.0,8.0
35402,32.0,31.0,2.0,22.0,19.0,19.0
12633,33.0,35.0,-6.0,24.0,21.0,29.0
34399,57.0,54.0,-20.0,25.0,6.0,38.0
35299,-21.0,-19.0,-7.0,-11.0,3.0,-8.0
7027,98.0,89.0,16.0,75.0,49.0,78.0
38960,11.0,6.0,6.0,4.0,8.0,13.0
52182,3.0,3.0,1.0,0.0,3.0,3.0
36093,35.0,21.0,11.0,26.0,25.0,15.0
126,-17.0,-23.0,-2.0,-5.0,4.0,-3.0
47509,182.0,72.0,54.0,95.0,143.0,256.0
30136,23.0,20.0,2.0,10.0,5.0,15.0
1607,-25.0,-35.0,-21.0,-7.0,14.0,-12.0
50505,-3.0,-9.0,-9.0,0.0,-9.0,-6.0
51170,73.0,50.0,2.0,5.0,32.0,80.0
2180,-248.0,1.0,-115.0,-207.0,170.0,64.0
33287,111.0,106.0,14.0,57.0,57.0,79.0
33153,12.0,10.0,1.0,12.0,3.0,5.0
11205,-19.0,4.0,-21.0,-22.0,1.0,-15.0
54069,25.0,24.0,3.0,17.0,10.0,21.0
49456,-37.0,-36.0,-28.0,-9.0,17.0,9.0
35684,-31.0,-8.0,-38.0,-28.0,59.0,-4.0
930,17.0,15.0,-4.0,13.0,22.0,17.0
35276,31.0,29.0,5.0,21.0,14.0,10.0
35164,97.0,93.0,23.0,45.0,60.0,83.0
53963,9.0,31.0,-6.0,1.0,25.0,29.0
33289,54.0,52.0,14.0,29.0,28.0,39.0
35462,-13.0,-33.0,-81.0,34.0,97.0,21.0
35631,3.0,1.0,-9.0,18.0,21.0,16.0
2042,51.0,50.0,18.0,34.0,37.0,43.0
35629,29.0,25.0,10.0,40.0,5.0,7.0
50036,-7.0,-23.0,-51.0,18.0,7.0,5.0
33152,-46.0,-12.0,-97.0,-54.0,42.0,-21.0
33424,29.0,25.0,-15.0,24.0,4.0,4.0
9275,75.0,84.0,21.0,35.0,51.0,59.0
983,12.0,11.0,10.0,13.0,5.0,4.0
53714,-49.0,-10.0,-17.0,-30.0,31.0,33.0
35178,10.0,10.0,5.0,10.0,15.0,10.0
33183,40.0,23.0,-3.0,21.0,41.0,29.0
47532,4.0,4.0,1.0,2.0,1.0,3.0
35483,-60.0,-63.0,-32.0,-33.0,13.0,-9.0
35248,-8.0,-2.0,6.0,9.0,43.0,24.0
1919,43.0,43.0,9.0,21.0,33.0,38.0
19882,8.0,10.0,-8.0,10.0,6.0,4.0
1638,5.0,5.0,-3.0,1.0,1.0,5.0
1837,56.0,80.0,-32.0,27.0,90.0,78.0
864,15.0,12.0,0.0,6.0,3.0,9.0
9607,3.0,3.0,1.0,0.0,3.0,3.0
2055,-16.0,30.0,-36.0,-22.0,272.0,98.0
34479,0.0,-2.0,-2.0,0.0,1.0,-1.0
34743,-17.0,-19.0,-7.0,-8.0,-3.0,-6.0
13497,-15.0,-38.0,-81.0,-12.0,-27.0,34.0
1326,-4.0,-4.0,-1.0,-2.0,0.0,-1.0
27825,-3.0,14.0,-5.0,1.0,5.0,0.0
159,11.0,6.0,-23.0,13.0,10.0,14.0
35378,-23.0,-20.0,-19.0,-10.0,-6.0,-14.0
27676,11.0,9.0,6.0,-2.0,4.0,7.0
33281,1.0,-5.0,-1.0,2.0,-4.0,-4.0
1729,14.0,16.0,-6.0,2.0,7.0,6.0
1618,4.0,3.0,3.0,4.0,2.0,1.0
1519,22.0,15.0,16.0,45.0,16.0,24.0
33050,105.0,82.0,6.0,71.0,75.0,71.0
971,100.0,100.0,12.0,64.0,110.0,87.0
13165,72.0,73.0,24.0,47.0,39.0,47.0
9606,6.0,-2.0,18.0,1.0,18.0,4.0
32424,36.0,56.0,25.0,53.0,86.0,45.0
27816,71.0,67.0,25.0,31.0,32.0,54.0
27826,-3.0,12.0,14.0,49.0,7.0,75.0
16,17.0,13.0,32.0,13.0,19.0,15.0
54282,13.0,13.0,6.0,2.0,8.0,4.0
87,177.0,179.0,48.0,98.0,128.0,118.0
29800,88.0,60.0,-8.0,46.0,22.0,60.0
35171,36.0,16.0,-27.0,19.0,37.0,9.0
34914,25.0,31.0,12.0,33.0,6.0,12.0
328,42.0,43.0,28.0,31.0,40.0,52.0
33290,395.0,355.0,16.0,217.0,188.0,264.0
6187,69.0,72.0,-51.0,5.0,82.0,67.0
33176,6.0,6.0,5.0,2.0,20.0,15.0
34418,70.0,70.0,10.0,38.0,49.0,49.0
53647,151.0,146.0,50.0,103.0,100.0,140.0
53944,46.0,5.0,-8.0,40.0,53.0,45.0
9926,37.0,32.0,2.0,28.0,31.0,35.0
23607,160.0,151.0,-30.0,87.0,79.0,101.0
1039,149.0,126.0,41.0,81.0,50.0,85.0
35176,11.0,8.0,0.0,10.0,2.0,5.0
3459,15.0,17.0,12.0,18.0,42.0,24.0
1856,98.0,91.0,25.0,52.0,17.0,76.0
29798,30.0,28.0,7.0,20.0,19.0,20.0
35425,90.0,95.0,28.0,122.0,54.0,58.0
28,13.0,19.0,6.0,8.0,18.0,18.0
34850,-2.0,2.0,0.0,-5.0,4.0,-2.0
10294,-3.0,0.0,2.0,-3.0,1.0,-4.0
33269,9.0,8.0,1.0,4.0,2.0,6.0
12330,24.0,20.0,2.0,12.0,10.0,16.0
31445,6.0,5.0,4.0,6.0,1.0,4.0
21997,38.0,34.0,-18.0,34.0,57.0,47.0
33671,333.0,332.0,-15.0,202.0,297.0,297.0
50707,39.0,39.0,-26.0,34.0,37.0,41.0
53962,1.0,1.0,4.0,0.0,0.0,1.0
36550,986.0,1026.0,339.0,852.0,556.0,700.0
34837,74.0,54.0,14.0,52.0,7.0,50.0
22,82.0,87.0,2.0,67.0,45.0,53.0
11738,-28.0,-21.0,-37.0,-21.0,4.0,-18.0
31850,54.0,56.0,-24.0,34.0,55.0,41.0
33105,155.0,161.0,42.0,117.0,187.0,146.0
19811,7.0,10.0,-5.0,7.0,10.0,11.0
47419,159.0,153.0,61.0,110.0,120.0,135.0
53036,-1.0,-2.0,4.0,2.0,5.0,4.0
34312,682.0,796.0,57.0,367.0,521.0,568.0
10202,26.0,9.0,14.0,46.0,22.0,7.0
50638,51.0,83.0,-28.0,39.0,48.0,58.0
53956,347.0,372.0,15.0,287.0,306.0,264.0
8897,-15.0,-10.0,6.0,-11.0,18.0,-12.0
31446,39.0,47.0,9.0,19.0,28.0,27.0
2241,42.0,55.0,12.0,14.0,38.0,39.0
42917,39.0,31.0,10.0,53.0,-4.0,27.0
1887,-45.0,-10.0,-42.0,-28.0,30.0,-10.0
4781,64.0,48.0,57.0,51.0,94.0,73.0
1774,42.0,38.0,17.0,28.0,29.0,44.0
518,116.0,117.0,39.0,111.0,46.0,62.0
29328,81.0,80.0,22.0,41.0,53.0,66.0
29826,126.0,121.0,91.0,27.0,237.0,47.0
35240,35.0,34.0,1.0,13.0,20.0,31.0
23704,278.0,236.0,73.0,208.0,149.0,216.0
35212,133.0,122.0,-25.0,99.0,126.0,120.0
1679,63.0,77.0,43.0,53.0,96.0,115.0
33764,162.0,170.0,63.0,133.0,93.0,138.0
1738,133.0,171.0,8.0,48.0,120.0,140.0
35512,31.0,33.0,13.0,28.0,14.0,20.0
34315,166.0,192.0,17.0,120.0,138.0,177.0
1908,61.0,58.0,7.0,30.0,38.0,37.0
31453,266.0,266.0,54.0,257.0,212.0,210.0
33881,6.0,2.0,-18.0,0.0,52.0,40.0
546,1.0,4.0,-37.0,16.0,99.0,56.0
34819,9.0,9.0,4.0,6.0,6.0,8.0
884,3.0,4.0,4.0,5.0,3.0,2.0
729,9.0,9.0,3.0,10.0,1.0,4.0
54676,302.0,304.0,54.0,207.0,263.0,247.0
53654,11.0,8.0,-4.0,11.0,6.0,9.0
27806,5.0,2.0,2.0,5.0,0.0,5.0
1932,120.0,131.0,42.0,67.0,82.0,106.0
1540,3.0,3.0,1.0,0.0,3.0,3.0
35441,24.0,40.0,3.0,-6.0,61.0,40.0
35219,1.0,1.0,4.0,0.0,0.0,1.0
1543,18.0,16.0,-22.0,22.0,15.0,16.0
685,526.0,496.0,119.0,393.0,337.0,397.0
4049,17.0,14.0,22.0,6.0,5.0,11.0
43672,148.0,156.0,44.0,102.0,107.0,137.0
746,-3.0,-1.0,1.0,0.0,6.0,3.0
35100,-51.0,38.0,-91.0,-35.0,100.0,6.0
50587,20.0,11.0,14.0,21.0,-4.0,9.0
1886,55.0,45.0,-54.0,64.0,147.0,73.0
33088,70.0,82.0,41.0,51.0,48.0,57.0
7846,24.0,26.0,15.0,23.0,21.0,22.0
25244,92.0,96.0,24.0,48.0,56.0,83.0
31442,-7.0,-7.0,-5.0,-9.0,14.0,5.0
8770,13.0,2.0,-49.0,24.0,41.0,30.0
35272,93.0,96.0,11.0,59.0,84.0,77.0
10148,3.0,4.0,3.0,1.0,3.0,4.0
1509,92.0,77.0,19.0,40.0,68.0,88.0
35502,130.0,147.0,-3.0,61.0,118.0,123.0
33092,13.0,12.0,3.0,5.0,6.0,12.0
53376,37.0,25.0,-1.0,27.0,35.0,31.0
34023,27.0,25.0,12.0,13.0,9.0,19.0
33248,182.0,166.0,43.0,103.0,63.0,108.0
428,4.0,4.0,1.0,2.0,1.0,3.0
1211,-25.0,-23.0,-26.0,-11.0,3.0,-8.0
1870,9.0,24.0,2.0,2.0,23.0,8.0
19808,173.0,176.0,49.0,104.0,85.0,104.0
31268,3.0,6.0,2.0,2.0,3.0,2.0
28635,15.0,8.0,-5.0,4.0,3.0,10.0
52185,6.0,6.0,2.0,0.0,6.0,6.0
53955,94.0,91.0,17.0,53.0,94.0,65.0
52797,7.0,14.0,-7.0,3.0,9.0,8.0
33244,2.0,6.0,-3.0,6.0,14.0,13.0
33989,84.0,77.0,2.0,44.0,53.0,64.0
7610,30.0,29.0,16.0,19.0,26.0,32.0
35595,122.0,125.0,29.0,62.0,110.0,141.0
35517,120.0,115.0,7.0,48.0,111.0,117.0
33627,502.0,481.0,86.0,300.0,375.0,376.0
2769,5.0,4.0,0.0,2.0,1.0,3.0
412,-11.0,-23.0,-10.0,-6.0,17.0,8.0
1250,1125.0,1053.0,-14.0,764.0,632.0,904.0
35737,1117.0,1071.0,113.0,740.0,490.0,798.0
35170,-60.0,-62.0,-136.0,-24.0,48.0,-17.0
34199,28.0,33.0,17.0,12.0,18.0,18.0
8775,-2.0,22.0,-12.0,-12.0,34.0,5.0
35445,255.0,224.0,75.0,128.0,217.0,212.0
49480,47.0,90.0,-14.0,24.0,20.0,47.0
1885,-2.0,-8.0,-14.0,1.0,-10.0,-8.0
533,67.0,65.0,26.0,48.0,43.0,41.0
33134,-3.0,-8.0,-7.0,-2.0,2.0,-3.0
33074,58.0,58.0,20.0,21.0,41.0,49.0
399,127.0,146.0,38.0,83.0,80.0,92.0
29941,17.0,17.0,6.0,-2.0,21.0,20.0
29596,21.0,22.0,-2.0,12.0,0.0,20.0
33090,98.0,99.0,5.0,49.0,134.0,128.0
34823,62.0,72.0,51.0,39.0,31.0,24.0
1040,-10.0,-2.0,-8.0,-10.0,-3.0,-8.0
33129,187.0,195.0,63.0,149.0,62.0,184.0
50787,17.0,12.0,14.0,10.0,15.0,16.0
21785,189.0,208.0,57.0,79.0,189.0,213.0
50600,-33.0,-23.0,-16.0,-54.0,38.0,-1.0
35785,44.0,38.0,20.0,55.0,14.0,27.0
37790,104.0,98.0,34.0,68.0,41.0,80.0
34577,146.0,156.0,61.0,83.0,103.0,91.0
555,65.0,79.0,18.0,37.0,68.0,66.0
1867,23.0,19.0,12.0,14.0,4.0,15.0
35509,45.0,73.0,-17.0,41.0,17.0,36.0
54108,208.0,183.0,8.0,128.0,134.0,173.0
29280,2.0,-4.0,-5.0,5.0,-3.0,-3.0
53536,256.0,253.0,42.0,165.0,190.0,200.0
33102,-77.0,-84.0,-94.0,-7.0,31.0,-2.0
1423,35.0,19.0,1.0,23.0,27.0,18.0
744,74.0,85.0,15.0,28.0,86.0,96.0
34317,62.0,56.0,43.0,21.0,44.0,36.0
34139,94.0,88.0,-15.0,84.0,45.0,50.0
8244,-1.0,-3.0,-3.0,0.0,-3.0,-2.0
483,88.0,81.0,24.0,60.0,29.0,79.0
33093,144.0,140.0,45.0,74.0,96.0,109.0
50630,78.0,72.0,42.0,34.0,79.0,51.0
1130,-2.0,-12.0,-13.0,1.0,-13.0,-7.0
50801,28.0,68.0,21.0,56.0,94.0,102.0
27835,76.0,79.0,-10.0,46.0,53.0,49.0
489,-6.0,-7.0,-4.0,-2.0,10.0,5.0
1053,9.0,6.0,3.0,3.0,3.0,6.0
35017,90.0,73.0,33.0,36.0,12.0,83.0
494,12.0,12.0,2.0,5.0,4.0,9.0
34098,-6.0,7.0,6.0,1.0,9.0,-2.0
53566,183.0,200.0,19.0,110.0,110.0,107.0
34202,10.0,8.0,0.0,4.0,2.0,6.0
35019,-8.0,-5.0,-11.0,-5.0,-6.0,-7.0
8534,-15.0,-15.0,-9.0,-3.0,0.0,-6.0
53949,3.0,3.0,1.0,0.0,3.0,3.0
34197,14.0,11.0,-15.0,6.0,24.0,21.0
29797,72.0,73.0,27.0,40.0,14.0,62.0
34086,23.0,30.0,6.0,9.0,21.0,24.0
523,-2.0,18.0,-7.0,3.0,6.0,1.0
629,17.0,17.0,5.0,6.0,5.0,10.0
54073,2.0,1.0,3.0,2.0,0.0,1.0
614,-6.0,-5.0,-1.0,-3.0,7.0,5.0
34083,9.0,15.0,22.0,14.0,26.0,0.0
521,7.0,6.0,1.0,4.0,4.0,5.0
54304,22.0,22.0,6.0,29.0,13.0,25.0
54319,3.0,4.0,4.0,5.0,3.0,2.0
34302,-1.0,-2.0,0.0,0.0,1.0,4.0
34839,88.0,98.0,33.0,73.0,66.0,59.0
33264,37.0,37.0,12.0,15.0,35.0,35.0
500,-34.0,-36.0,-16.0,9.0,6.0,-7.0
33051,234.0,232.0,50.0,92.0,150.0,200.0
34304,6.0,8.0,6.0,2.0,6.0,8.0
47517,72.0,65.0,35.0,47.0,73.0,73.0
33128,2.0,14.0,5.0,2.0,27.0,21.0
612,21.0,24.0,15.0,21.0,12.0,15.0
35233,2274.0,2342.0,567.0,1603.0,1197.0,1718.0
33532,87.0,76.0,13.0,34.0,48.0,76.0
33949,94.0,107.0,35.0,65.0,62.0,73.0
35458,37.0,57.0,-5.0,16.0,23.0,31.0
34102,29.0,21.0,-7.0,28.0,15.0,30.0
1923,-12.0,-12.0,-3.0,-6.0,0.0,-3.0
33919,16.0,15.0,4.0,5.0,16.0,19.0
639,47.0,74.0,80.0,0.0,142.0,55.0
33047,21.0,24.0,16.0,3.0,12.0,12.0
32376,127.0,124.0,45.0,102.0,69.0,96.0
33556,5.0,5.0,3.0,2.0,1.0,4.0
33059,-21.0,-15.0,-15.0,-19.0,5.0,-12.0
35506,13.0,9.0,0.0,2.0,13.0,11.0
33935,85.0,95.0,37.0,57.0,71.0,73.0
34060,72.0,70.0,39.0,68.0,154.0,105.0
333,70.0,57.0,-2.0,34.0,39.0,55.0
608,94.0,89.0,4.0,42.0,74.0,71.0
33041,177.0,167.0,0.0,115.0,91.0,125.0
36998,16.0,22.0,16.0,11.0,1.0,9.0
923,22.0,26.0,1.0,13.0,15.0,16.0
1125,252.0,225.0,46.0,180.0,161.0,189.0
2505,-4.0,-4.0,-1.0,-2.0,0.0,-1.0
50912,-132.0,-170.0,-161.0,-72.0,25.0,-5.0
2239,18.0,9.0,8.0,3.0,13.0,19.0
34521,125.0,132.0,41.0,55.0,119.0,118.0
2413,0.0,-4.0,-4.0,0.0,2.0,-2.0
36011,26.0,23.0,17.0,13.0,16.0,21.0
35827,7.0,6.0,-2.0,1.0,4.0,4.0
13581,-119.0,-209.0,-37.0,-68.0,33.0,-14.0
10526,11.0,5.0,6.0,13.0,6.0,22.0
21762,-41.0,-27.0,-68.0,-17.0,11.0,-23.0
35347,-66.0,6.0,-59.0,6.0,26.0,60.0
50826,237.0,200.0,-96.0,200.0,112.0,180.0
36186,23.0,19.0,6.0,8.0,12.0,13.0
47598,70.0,77.0,33.0,38.0,49.0,43.0
21797,27.0,30.0,11.0,24.0,32.0,23.0
47492,33.0,6.0,-113.0,65.0,48.0,48.0
36114,2.0,2.0,1.0,2.0,3.0,2.0
36171,6.0,-3.0,13.0,4.0,-7.0,9.0
35355,-2.0,1.0,3.0,4.0,0.0,-2.0
35352,-33.0,-55.0,-43.0,-2.0,68.0,32.0
47606,24.0,21.0,6.0,6.0,12.0,15.0
36094,4.0,4.0,2.0,4.0,6.0,4.0
35345,198.0,204.0,50.0,180.0,110.0,133.0
2549,3.0,3.0,1.0,0.0,3.0,3.0
2540,-24.0,-2.0,-81.0,2.0,23.0,-18.0
2361,21.0,21.0,8.0,6.0,14.0,18.0
35624,168.0,140.0,40.0,81.0,66.0,114.0
34160,77.0,69.0,15.0,59.0,17.0,44.0
36488,283.0,279.0,31.0,116.0,201.0,240.0
52977,-29.0,97.0,-70.0,-35.0,110.0,-13.0
36085,305.0,293.0,53.0,216.0,195.0,281.0
36049,57.0,75.0,-45.0,23.0,54.0,31.0
35875,15.0,16.0,6.0,7.0,7.0,8.0
36069,13.0,7.0,-13.0,8.0,17.0,16.0
2405,7.0,6.0,5.0,4.0,6.0,6.0
36197,-5.0,0.0,-3.0,-5.0,0.0,-3.0
2498,-40.0,-45.0,-71.0,-24.0,3.0,-30.0
52553,28.0,33.0,14.0,29.0,26.0,23.0
2524,38.0,32.0,-5.0,30.0,0.0,20.0
36034,46.0,11.0,37.0,38.0,2.0,44.0
13477,-39.0,-6.0,-53.0,-29.0,27.0,-3.0
37787,-76.0,-73.0,-29.0,-37.0,9.0,-23.0
2367,21.0,20.0,2.0,16.0,4.0,14.0
35859,4.0,35.0,-13.0,16.0,25.0,23.0
2191,54.0,56.0,-13.0,30.0,19.0,29.0
2251,42.0,38.0,20.0,34.0,18.0,35.0
35894,47.0,67.0,12.0,46.0,35.0,37.0
35215,115.0,137.0,43.0,75.0,97.0,115.0
35367,45.0,42.0,5.0,24.0,34.0,37.0
54226,151.0,155.0,9.0,77.0,56.0,109.0
